"F1_macro","training_data_feat_train_total_N","testing_data_feat_test_tot_N","proportion_train_test_sets","model_type.data_svm","model_type.data_fasttext","model_type.data_bert","model_type.data_albert","train_dataset.data_waseem","train_dataset.data_trac","train_dataset.data_toxkaggle","train_dataset.data_stormfront","train_dataset.data_offenseval","train_dataset.data_hateval","train_dataset.data_founta","train_dataset.data_davidson","train_dataset.data_ami","train_concept.data_toxicity","train_concept.data_threat","train_concept.data_sexism","train_concept.data_severe toxicity","train_concept.data_racism","train_concept.data_overt aggression","train_concept.data_offense","train_concept.data_obscene","train_concept.data_insult","train_concept.data_hate speech","train_concept.data_covert aggression","train_concept.data_aggressive hate speech","train_concept.data_aggression","train_concept.data_abusive","test_dataset.data_waseem","test_dataset.data_trac","test_dataset.data_toxkaggle","test_dataset.data_stormfront","test_dataset.data_offenseval","test_dataset.data_hateval","test_dataset.data_founta","test_dataset.data_davidson","test_dataset.data_ami","test_concept.data_toxicity","test_concept.data_threat","test_concept.data_sexism","test_concept.data_severe toxicity","test_concept.data_racism","test_concept.data_overt aggression","test_concept.data_offense","test_concept.data_obscene","test_concept.data_insult","test_concept.data_hate speech","test_concept.data_covert aggression","test_concept.data_aggressive hate speech","test_concept.data_aggression","test_concept.data_abusive","test_sn.data_wikipedia_talks","test_sn.data_twitter","test_sn.data_stormfront","test_sn.data_facebook","train_sn.data_wikipedia_talks","train_sn.data_twitter","train_sn.data_stormfront","train_sn.data_facebook","perc_training_present_testing","perc_testing_present_training","training_data_feat_train_perc_positive","same_sn","same_concept","F1_macro_original"
0.655799546805204,2800,47872,-2.83891136517085,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.586395621579359,0.135232600072124,0.446071428571429,0,0,0.80882479887653
0.546416974405976,2800,5073,-0.594312941403395,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.478498827208757,0.189630241685602,0.446071428571429,1,0,0.80882479887653
0.667069907508452,2800,47872,-2.83891136517085,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.600990357049778,0.129827722103367,0.446071428571429,0,0,0.80882479887653
0.515799962316364,2800,47872,-2.83891136517085,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.246546781339588,0.394659991656237,0.446071428571429,0,0,0.80882479887653
0.598017470357896,2800,1000,1.02961941718116,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.99166015115976,0.303622725821896,0.446071428571429,1,0,0.80882479887653
0.355843827663969,2800,3000,-0.0689928714869514,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.528277299973938,0.12781385963806,0.446071428571429,0,0,0.80882479887653
0.567618525811636,2800,1500,0.624154309072994,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.363044044826688,0.29475243334744,0.446071428571429,0,0,0.80882479887653
0.663439508972641,2800,7435,-0.97657916273096,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.620015637216575,0.102111769250579,0.446071428571429,1,0,0.80882479887653
0.649570259625275,2800,47872,-2.83891136517085,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.667709147771697,0.0942639537878509,0.446071428571429,0,0,0.80882479887653
0.609277382896693,2800,27587,-2.28772523008702,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.697159238988793,0.0650978292611701,0.446071428571429,1,0,0.80882479887653
0.454698871797341,2800,5073,-0.594312941403395,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.27339066979411,0.253259295026557,0.446071428571429,1,0,0.80882479887653
0.705583060252446,2800,7435,-0.97657916273096,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.609330205890018,0.106176203451408,0.446071428571429,1,0,0.80882479887653
0.617608078362765,2800,27587,-2.28772523008702,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.667969768047954,0.0738446467673159,0.446071428571429,1,0,0.80882479887653
0.526142068295211,2800,27587,-2.28772523008702,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.516028146989836,0.170205450012894,0.446071428571429,1,0,0.80882479887653
0.485352863272026,2800,3000,-0.0689928714869514,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.456867344279385,0.183906840117499,0.446071428571429,0,0,0.80882479887653
0.548436171729645,2800,47872,-2.83891136517085,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.401355225436539,0.264286940106401,0.446071428571429,0,0,0.80882479887653
0.300622239971737,2800,7435,-0.97657916273096,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.301016419077404,0.318444995864351,0.446071428571429,1,0,0.80882479887653
0.581629183465294,2800,319,2.17218359337845,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.556424289809747,0.208842805438717,0.446071428571429,1,0,0.80882479887653
0.596753133197221,2800,47872,-2.83891136517085,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.355225436538963,0.282194616977226,0.446071428571429,0,0,0.80882479887653
0.570848298973863,2800,1000,1.02961941718116,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.567891581965077,0.293507543103448,0.446071428571429,1,0,0.80882479887653
0.441233025713223,2800,3000,-0.0689928714869514,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.476153244722439,0.156207250341997,0.446071428571429,0,0,0.80882479887653
0.615387356204825,2800,5073,-0.594312941403395,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.428199113891061,0.236131072147169,0.446071428571429,1,1,0.80882479887653
0.486918962948673,2800,47872,-2.83891136517085,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.600990357049778,0.129827722103367,0.446071428571429,0,0,0.356223175965665
0.497754836543707,2800,47872,-2.83891136517085,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.401355225436539,0.264286940106401,0.446071428571429,0,0,0.356223175965665
0.443932916803683,2800,5073,-0.594312941403395,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.428199113891061,0.236131072147169,0.446071428571429,1,1,0.356223175965665
0.436249565732737,2800,27587,-2.28772523008702,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.667969768047954,0.0738446467673159,0.446071428571429,1,0,0.356223175965665
0.149508121711279,2800,7435,-0.97657916273096,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.620015637216575,0.102111769250579,0.446071428571429,1,0,0.356223175965665
0.404856874706711,2800,5073,-0.594312941403395,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.478498827208757,0.189630241685602,0.446071428571429,1,0,0.356223175965665
0.29128277817151,2800,3000,-0.0689928714869514,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.528277299973938,0.12781385963806,0.446071428571429,0,0,0.356223175965665
0.4992573377126,2800,47872,-2.83891136517085,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.246546781339588,0.394659991656237,0.446071428571429,0,0,0.356223175965665
0.488560940338908,2800,27587,-2.28772523008702,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.516028146989836,0.170205450012894,0.446071428571429,1,0,0.356223175965665
0.191584212243123,2800,7435,-0.97657916273096,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.609330205890018,0.106176203451408,0.446071428571429,1,0,0.356223175965665
0.393203883495146,2800,3000,-0.0689928714869514,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.476153244722439,0.156207250341997,0.446071428571429,0,0,0.356223175965665
0.443000371333086,2800,1500,0.624154309072994,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.363044044826688,0.29475243334744,0.446071428571429,0,0,0.356223175965665
0.421665024423992,2800,27587,-2.28772523008702,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.697159238988793,0.0650978292611701,0.446071428571429,1,0,0.356223175965665
0.475697106433312,2800,47872,-2.83891136517085,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.667709147771697,0.0942639537878509,0.446071428571429,0,0,0.356223175965665
0.487780868820886,2800,47872,-2.83891136517085,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.586395621579359,0.135232600072124,0.446071428571429,0,0,0.356223175965665
0.443207126948775,2800,1000,1.02961941718116,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.567891581965077,0.293507543103448,0.446071428571429,1,0,0.356223175965665
0.468628888656122,2800,5073,-0.594312941403395,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.27339066979411,0.253259295026557,0.446071428571429,1,0,0.356223175965665
0.497438481565466,2800,47872,-2.83891136517085,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.355225436538963,0.282194616977226,0.446071428571429,0,0,0.356223175965665
0.484217828650711,2800,7435,-0.97657916273096,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.301016419077404,0.318444995864351,0.446071428571429,1,0,0.356223175965665
0.364272091544819,2800,1000,1.02961941718116,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.99166015115976,0.303622725821896,0.446071428571429,1,0,0.356223175965665
0.431372549019608,2800,319,2.17218359337845,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.556424289809747,0.208842805438717,0.446071428571429,1,0,0.356223175965665
0.432785025524674,2800,3000,-0.0689928714869514,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.456867344279385,0.183906840117499,0.446071428571429,0,0,0.356223175965665
0.353705960163616,2800,7435,-0.97657916273096,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.301016419077404,0.318444995864351,0.446071428571429,1,0,0.778201058201058
0.587500971280649,2800,47872,-2.83891136517085,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.355225436538963,0.282194616977226,0.446071428571429,0,0,0.778201058201058
0.596639725617478,2800,27587,-2.28772523008702,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.667969768047954,0.0738446467673159,0.446071428571429,1,0,0.778201058201058
0.54505052265432,2800,47872,-2.83891136517085,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.401355225436539,0.264286940106401,0.446071428571429,0,0,0.778201058201058
0.556504162261703,2800,5073,-0.594312941403395,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.428199113891061,0.236131072147169,0.446071428571429,1,1,0.778201058201058
0.646593119835629,2800,47872,-2.83891136517085,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.586395621579359,0.135232600072124,0.446071428571429,0,0,0.778201058201058
0.654002563694128,2800,47872,-2.83891136517085,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.600990357049778,0.129827722103367,0.446071428571429,0,0,0.778201058201058
0.651178921939871,2800,7435,-0.97657916273096,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.609330205890018,0.106176203451408,0.446071428571429,1,0,0.778201058201058
0.63183370344219,2800,47872,-2.83891136517085,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.667709147771697,0.0942639537878509,0.446071428571429,0,0,0.778201058201058
